,index,ModifiedDateTime,FRP
580,8,2021-05-01,0.0
581,8,2021-06-01,0.0
582,8,2021-07-01,0.0
583,8,2021-08-01,0.0
584,8,2021-09-01,0.0
585,8,2021-10-01,0.0
586,8,2021-11-01,0.0
587,8,2021-12-01,0.0
588,9,2015-01-01,0.0
589,9,2015-02-01,0.0
590,9,2015-03-01,0.0
591,9,2015-04-01,0.0
592,9,2015-05-01,0.0
593,9,2015-06-01,0.0
594,9,2015-07-01,0.0
595,9,2015-08-01,0.0
596,9,2015-09-01,0.0
597,9,2015-10-01,0.0
598,9,2015-11-01,0.0
599,9,2015-12-01,0.0
600,9,2016-01-01,0.0
601,9,2016-02-01,0.0
602,9,2016-03-01,0.0
603,9,2016-04-01,0.0
604,9,2016-05-01,0.0
605,9,2016-06-01,7.8
606,9,2016-07-01,0.0
607,9,2016-08-01,0.0
608,9,2016-09-01,0.0
609,9,2016-10-01,0.0
610,9,2016-11-01,0.0
611,9,2016-12-01,0.0
612,9,2017-01-01,0.0
613,9,2017-02-01,0.0
614,9,2017-03-01,0.0
615,9,2017-04-01,0.0
616,9,2017-05-01,0.0
617,9,2017-06-01,0.0
618,9,2017-07-01,0.0
619,9,2017-08-01,7.2
620,9,2017-09-01,0.0
621,9,2017-10-01,8.9
622,9,2017-11-01,0.0
623,9,2017-12-01,0.0
624,9,2018-01-01,0.0
625,9,2018-02-01,0.0
626,9,2018-03-01,0.0
627,9,2018-04-01,0.0
628,9,2018-05-01,0.0
629,9,2018-06-01,0.0
630,9,2018-07-01,0.0
631,9,2018-08-01,0.0
632,9,2018-09-01,0.0
633,9,2018-10-01,0.0
634,9,2018-11-01,0.0
635,9,2018-12-01,0.0
636,9,2019-01-01,0.0
637,9,2019-02-01,0.0
638,9,2019-03-01,0.0
639,9,2019-04-01,0.0
640,9,2019-05-01,0.0
641,9,2019-06-01,0.0
642,9,2019-07-01,0.0
643,9,2019-08-01,0.0
644,9,2019-09-01,0.0
645,9,2019-10-01,0.0
646,9,2019-11-01,0.0
647,9,2019-12-01,0.0
648,9,2020-01-01,0.0
649,9,2020-02-01,0.0
650,9,2020-03-01,0.0
651,9,2020-04-01,0.0
652,9,2020-05-01,0.0
653,9,2020-06-01,0.0
654,9,2020-07-01,0.0
655,9,2020-08-01,0.0
656,9,2020-09-01,0.0
657,9,2020-10-01,0.0
658,9,2020-11-01,0.0
659,9,2020-12-01,0.0
660,9,2021-01-01,0.0
661,9,2021-02-01,13.266666666666666
