,Crops 2017,Crops 2018,Crops 2019,Crops 2020,Crops 2021
323,1588252,1598027,1597012,1594711,1609548
324,1550221,1570366,1558267,1546882,1521383
325,2140816,2144894,2127733,2120449,2118893
326,1238755,1227391,1164150,1206434,1259368
327,1147166,1149421,1147051,1132109,1132852
328,1660530,1695123,1651486,1553383,1522878
329,1232397,1342429,1129554,1163710,1375482
330,705666,725579,627537,740031,755978
331,1001817,1009730,1005139,981500,982431
332,1376473,1419266,1430263,1443173,1488679
333,1822886,1819608,1814095,1781190,1785307
334,1364327,1403062,1391734,1378299,1378822
335,1674662,1690197,1670513,1678497,1774093
336,1908359,1919018,1910720,1889412,1878796
337,812721,811406,807634,788181,798062
338,1966159,2188218,2371212,1987481,2240466
339,1863546,1926064,1976192,1858474,1914463
340,1059264,1076187,1080855,1006768,954185
341,1367141,1365411,1367712,1348118,1344731
342,1167231,1681699,1621106,1606086,1539616
343,1826805,2012685,2126670,1978027,2205140
344,442811,444200,442073,437264,437505
345,0,1,48,0,0
346,1344966,1254628,1302143,1354060,1431585
347,1392592,1446882,1555441,1484547,1606936
348,851732,854141,859357,827987,853617
349,1266190,1261868,1258972,1239420,1244940
350,919294,1010379,887342,1021134,1252635
351,1235046,1283258,1281762,1227871,1240956
352,930676,989076,1026111,984482,961107
353,1376301,1390050,1411753,1364515,1358865
354,3026871,3045016,3050754,3018301,3032288
355,1297661,1369448,1376706,1333048,1352565
356,0,0,0,0,0
357,2358054,2481365,2459940,2369420,2551566
358,751841,764080,772061,731108,753599
359,1969642,2115547,2171794,1842455,1850268
360,1701417,1703020,1694665,1687944,1698577
361,1295970,1291143,1392536,1378363,1459156
362,1451798,1591646,1414603,1505999,1793676
363,1166787,1248187,1153748,1317812,1427875
364,2153876,2177442,2182897,2164828,2192965
365,951231,1053430,1071036,1078938,1110923
366,696043,683814,934000,631731,735336
367,1134669,1148980,1153445,1120125,1108754
368,1092871,1090691,1086468,1085024,1118670
369,775118,819529,875001,779348,844249
370,979512,984272,978298,962596,952502
371,369811,350139,358119,370739,383132
372,1804717,1891761,1885755,1859417,1923494
373,135593,122692,108177,97925,99099
374,665443,674548,673815,670773,672718
375,1460844,1530808,1541533,1477279,1500312
376,2219734,2259212,2181399,2273978,2235350
377,1346574,1365143,995341,1224017,1410117
378,1686117,1714795,1729440,1655081,1683966
379,1751621,1752716,1753138,1730273,1723126
380,1882667,1899350,1898537,1810335,1811339
381,1007426,1094442,1085441,1009129,1076192
382,641039,653907,719822,662740,788101
383,1194412,1197115,1194925,1183286,1181297
384,772378,758259,684364,753623,849285
385,2078465,2079659,2077276,2057916,2066277
386,91671,103789,106956,88375,92790
387,855451,863016,845119,827422,849897
388,18803,19939,19655,18954,19175
389,790923,802828,790413,791359,781647
390,82958,76509,69364,65722,62709
391,915875,931905,919525,923398,899077
392,801480,936354,1067074,963873,912659
393,1178922,1187823,1183410,1171584,1173806
394,2072245,2209120,1845339,1929134,2198873
395,1355520,1355770,1350833,1339292,1345672
396,283671,376018,194127,360152,523038
397,984374,1018822,1038853,989988,1030644
398,2449992,2483897,2470545,2442865,2448460
399,734197,736223,750121,766292,766493
400,299456,308710,236142,220411,284513
401,1607223,1761509,1807752,1598467,1639324
402,1434415,1528788,1478554,1605696,1621651
403,1350521,1436358,1472625,1467567,1448677
404,1830152,1897638,1839618,1846128,1918223
405,722412,728004,725297,712364,715995
406,1498723,1527868,1532226,1475847,1482310
407,1313987,1268350,1240062,1177396,1169003
408,1770106,1810560,1813229,1696896,1736612
409,2440951,2503337,2498027,2468881,2536920
410,657708,576704,595595,568458,663577
411,1914466,2012283,1829561,1975089,2031861
412,1181773,1273513,1203607,1320704,1412788
413,1927263,1930203,1924863,1900912,1915816
414,1054888,1069578,1069399,1012544,1005285
415,2251003,2333739,2340408,2325601,2369308
416,1528261,1520376,1472678,1545510,1653415
417,1045110,1059964,1068446,1058771,1069301
418,475465,553075,502980,432528,545164
419,606708,653704,718925,661933,705532
420,1720403,1667113,1665424,1730168,1756475
421,495563,540065,601370,491154,551089
422,1991821,2125740,2116515,2056932,2063125
423,1284321,1279467,1278705,1207982,1252600
424,1799763,1862749,1692424,1799493,1947092
425,951575,1106790,1156543,1145774,1098755
426,20632,13805,17596,8285,8047
427,1716649,1760400,1713093,1716815,1705843
428,2048666,2230603,2231693,2194338,2212783
429,1414930,1467582,1428537,1382630,1401708
430,1470699,1829844,1737189,1779788,1664096
431,2030292,2061204,2052925,1984282,1996650
432,928635,945945,947452,939304,913638
433,708971,705647,691971,709971,741951
434,1608181,1669882,1666359,1712194,1725115
435,1196176,1200786,1190529,1200548,1194591
436,73120,61485,58902,45615,51025
437,1173903,1155069,1168071,1151463,1154166
438,458247,447486,430139,353745,369965
439,1232106,1232778,1229076,1203203,1203857
440,747903,710175,715092,696603,710825
441,229638,215182,211542,195402,189400
442,1949022,2067414,2051698,2096832,2124506
443,751428,758706,758709,762494,810357
444,764369,750752,744948,765712,820175
445,1766643,1787028,1890677,1790141,1810281
446,538349,651112,602504,537624,637900
447,1839268,1851717,1863911,1810343,1831669
