s. no,region,wh type,warehouse,district,capacity,occupancy,vacancy,latitude,longitude,address,status
51,KARIMNAGAR,AMC,AMC KONARAOPET,RAJANNA SIRCILLA,5000.0,5571.1,-571.1,18.481007,78.69218000000001,AMC KONARAOPET,Active
52,KARIMNAGAR,AMC,AMC KUNTALA,ADILABAD,5000.0,,5000.0,19.23795,77.840023,AMC KUNTALA,Active
53,KARIMNAGAR,AMC,AMC LUXETTIPET,MANCHERIAL,7500.0,,7500.0,19.025272,79.126723,AMC LUXETTIPET,Active
54,KARIMNAGAR,AMC,AMC MAKLOOR,NIZAMABAD,5000.0,,5000.0,18.758172000000002,78.128967,AMC MAKLOOR,Active
55,KARIMNAGAR,AMC,MANDAMARRI AMC,MANCHERIAL,5000.0,4346.16,653.84,18.972732,79.491351,AMC MANDAMARRY,Active
56,KARIMNAGAR,AMC,AMC METPALLY,JAGTIAL,4000.0,,4000.0,18.848076000000002,78.630788,AMC METPALLY,Active
57,KARIMNAGAR,AMC,AMC NANDIPET,NIZAMABAD,5000.0,,5000.0,18.840854999999998,78.13833299999999,AMC NANDIPET,Active
58,KARIMNAGAR,AMC,NARMALA AMC,RAJANNA SIRCILLA,10000.0,4274.86,5725.14,,,AMC NARMALA,Active
59,KARIMNAGAR,AMC,AMC NIRMAL,NIRMAL,5000.0,4447.17,552.83,19.141303,78.344084,AMC NIRMAL,Active
60,KARIMNAGAR,AMC,NIZAMABAD AMC,NIZAMABAD,12500.0,,12500.0,18.631435,78.050802,AMC NIZAMBAD,Active
61,KARIMNAGAR,AMC,PEDDAPALLY AMC,PEDDAPALLY,3300.0,2274.16,1025.84,,,AMC PEDAPALLY,Active
62,KARIMNAGAR,AMC,PITLAM AMC,KAMAREDDY,5000.0,835.26,4164.74,18.228386999999998,77.82356,AMC PITLAM,Active
63,KARIMNAGAR,AMC,AMC PULSI,ADILABAD,5000.0,2120.75,2879.25,19.228489,77.894577,AMC PULSI,Active
64,KARIMNAGAR,AMC,AMC RAIKAL,JAGTIAL,2500.0,1138.41,1361.59,18.917089999999998,78.798278,AMC RAIKAL,Active
65,KARIMNAGAR,AMC,RENJAL AMC,NIZAMABAD,5000.0,4197.22,802.78,18.754770999999998,77.935496,AMC RENJAL,Active
66,KARIMNAGAR,AMC,AMC SARANGAPUR,NIRMAL,5000.0,4379.92,620.08,19.141299,78.344109,AMC SARANGAPUR,Active
67,KARIMNAGAR,AMC,AMC SARDHAPUR,RAJANNA SIRCILLA,3000.0,,3000.0,,,AMC SARDHAPUR,Active
68,KARIMNAGAR,AMC,AMC VELPUR,NIZAMABAD,5000.0,,5000.0,18.800387,78.363907,AMC VELPUR,Active
69,KARIMNAGAR,AMC,AMC VELGATUR,JAGTIAL,3300.0,2994.35,305.65,18.76599,79.193333,AMC VELGATUR,Active
70,KARIMNAGAR,AMC,YELLARAM AMC,ADILABAD,5000.0,3720.96,1279.04,,,AMC YELLARAM,Active
71,KARIMNAGAR,AMC,CHELGAL (BR. TO JAGTIAL),KARIMNAGAR,0.0,,0.0,,,"WHM, APSWC., JAGTIAL, Karimnagar Dist - 505 327.",Active
72,KARIMNAGAR,AMC,CHELPUR / SHALAPALLI (BR TO JAMMIKUNTA),KARIMNAGAR,0.0,,0.0,,,"WHM, APSWC.,CHELPUR(Shalapally)Behind Anjaneya Temple, JAMMIKUNTA, Karimnagar Dist - 505 122.",Active
73,KARIMNAGAR,AMC,HUZURABAD IG - I,KARIMNAGAR,25000.0,26764.94,-1764.94,,,"WHM, APSWC., HUZURABAD, K.C.Camp, Karimnagar Dist. 505 498.",Active
74,KARIMNAGAR,AMC,KHANAPUR/NIZAMABAD,No Data,10930.0,,10930.0,,,"WHM, APSWC, Khanapur, Arikela Narasareddy Godowns, Near :- Trinethra Rice Industries, Kahanapur Bypass road, Nizamabad - 503002",Active
75,KARIMNAGAR,AMC,NARASANAPALLY (BR. TO KAMAREDDY OWN),No Data,10000.0,86.72,9913.28,,,"WHM, APSWC., NARASANNAPALLY, NH 7 Road, Near RTA Check Post, Hyderabad Road, Kamareddy Dist, Nizamabad 503 102.",Active
76,KARIMNAGAR,AMC,RAGHAVAPUR,MEDAK,35000.0,,35000.0,,,"WHM, APSWC., RAGHAVAPUR, Peddapalli Mandal, Karimnagar Dist - 505 172",Active
77,KARIMNAGAR,INVESTOR GODOWN,SUDDALA -II IG,No Data,40000.0,38084.69,1915.31,,,"WHM, APSWC., SUDDALA II (IG), M/s. Sulthanabad Rice Millers Grain Warehouse, Suddala (V & P), Sulthanabad mandal, Karimnagar Dist - 505 185.",Active
78,KARIMNAGAR,AMC,SUDDALA-III IG,No Data,22500.0,49975.25,-27475.25,,,"WHM, APSWC., SUDDALA III (IG), Vill: Kadambapoor, Sulthanabad mandal, Karimnagar Dist - 505 185.",Active
79,KARIMNAGAR,PEG,JANKAMPET,NIZAMABAD,60000.0,,60000.0,,,Jankampet,Active
