,MAE,RMSE,R2,Features
121,78.04959410506711,110.63265551091148,-0.6364105958797333,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
122,78.12822028253504,110.66826884468432,-0.6374643067664687,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
123,77.47616423110615,110.28843210882417,-0.6262433535595091,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
124,77.62336529788718,110.46112710219711,-0.6313402428607424,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
125,78.92990786270354,111.77138673405358,-0.6702707955216571,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
126,78.83564705963744,111.91922266682059,-0.6746921299665325,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
127,81.3979987922389,114.39658508692735,-0.7496522104631391,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
128,80.80387448941248,114.23792293950741,-0.7448022218758585,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
129,80.58000917349688,114.13140943964179,-0.741550090760583,"['Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
130,80.96586059043118,114.46839610116838,-0.7518495441601125,"['Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
131,85.03276601039708,117.39039408454244,-0.8424288705170284,"['Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
132,84.98292754092475,117.29202591901316,-0.8393424099025675,"['Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
