,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
2262,71.86677659177043,59.998843280192894,6,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2263,71.87325832803687,59.98927647249959,9,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2264,71.87791973440224,59.74146999612032,5,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2265,71.88634423656778,59.77297999944271,4,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2266,71.8884472435039,59.79456507993974,4,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2267,71.8908058684796,60.03984458875636,9,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2268,71.89226881436207,59.99039276715602,8,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2269,71.90100861755987,59.95238712068492,5,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2270,71.90641435611144,59.77687439673777,4,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2271,71.92737311069286,59.75267195515539,8,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2272,71.92769686311556,59.79022027429814,3,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2273,71.93896672001325,59.97979725802318,7,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2274,71.93964148267015,59.94684421284528,6,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2275,71.93971723514841,59.777313525024454,3,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2276,71.94030427733516,59.943727273167084,9,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2277,71.94237582429808,59.76051389376846,3,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2278,71.94681535318843,59.80614393514083,9,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2279,71.95350429458423,59.94979326542681,3,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2280,71.9566746842829,59.92631957173051,8,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2281,71.958019453972,59.74551752482946,4,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2282,71.95960439241193,59.962060612415776,3,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2283,71.96121592098406,59.957620829189366,3,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2284,71.96123224672834,59.72958274848628,8,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2285,71.96188879436795,59.72540853705225,7,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2286,71.96242373672573,59.79240346613738,9,96,NO2,"['Maize', 'Soybean', 'Cotton']"
2287,71.97033238856154,60.00434844520528,9,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2288,71.97812889252765,59.75138154488562,3,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2289,71.97813993330583,59.70869587493978,4,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2290,71.98400973157202,59.722279723798245,4,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2291,71.99120743390284,59.747855334925106,3,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2292,71.99605375708511,59.68377449203645,7,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2293,71.9995568813525,59.69882253019531,7,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2294,72.0011935945104,59.731980922962805,3,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2295,72.00443547025255,59.92903363986832,3,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2296,72.00501786360147,59.69810552437267,5,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2297,72.00711466009113,59.719783200284496,5,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2298,72.00901339148669,59.6981096793213,8,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2299,72.00973639228872,59.95562657004688,8,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2300,72.01165994972833,59.71137846661463,9,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2301,72.01168744874741,59.70840600101969,3,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2302,72.01231934614889,59.907671862226515,3,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2303,72.01276982346744,59.921417354896434,3,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2304,72.01395271557331,59.72850181964322,3,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2305,72.0159364349391,59.92496466214072,3,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2306,72.0161012444031,59.703297795438395,6,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2307,72.02533128031249,59.70587388842324,3,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2308,72.02540566895716,59.91577262688664,3,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2309,72.02840178210903,59.668982438192124,8,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2310,72.03014833961018,59.90004652169174,3,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
