Date,place,fireCount
2017-11-27,Bhupalpalle,4.0
2017-11-28,Bhupalpalle,2.0
2017-11-29,Bhupalpalle,1.0
2017-11-30,Bhupalpalle,2.0
2017-12-01,Bhupalpalle,0.0
2017-12-02,Bhupalpalle,6.0
2017-12-03,Bhupalpalle,4.0
2017-12-04,Bhupalpalle,0.0
2017-12-05,Bhupalpalle,1.0
2017-12-06,Bhupalpalle,1.0
2017-12-07,Bhupalpalle,7.0
2017-12-08,Bhupalpalle,7.0
2017-12-09,Bhupalpalle,13.0
2017-12-10,Bhupalpalle,8.0
2017-12-11,Bhupalpalle,2.0
2017-12-12,Bhupalpalle,3.0
2017-12-13,Bhupalpalle,1.0
2017-12-14,Bhupalpalle,2.0
2017-12-15,Bhupalpalle,2.0
2017-12-16,Bhupalpalle,4.0
2017-12-17,Bhupalpalle,9.0
2017-12-18,Bhupalpalle,3.0
2017-12-19,Bhupalpalle,11.0
2017-12-20,Bhupalpalle,1.0
2017-12-21,Bhupalpalle,3.0
2017-12-22,Bhupalpalle,3.0
2017-12-23,Bhupalpalle,5.0
2017-12-24,Bhupalpalle,2.0
2017-12-25,Bhupalpalle,2.0
2017-12-26,Bhupalpalle,1.0
2017-12-27,Bhupalpalle,9.0
2017-12-28,Bhupalpalle,10.0
2017-12-29,Bhupalpalle,9.0
2017-12-30,Bhupalpalle,1.0
2017-12-31,Bhupalpalle,1.0
2018-01-01,Bhupalpalle,1.0
2018-01-02,Bhupalpalle,3.0
2018-01-03,Bhupalpalle,6.0
2018-01-04,Bhupalpalle,0.0
2018-01-05,Bhupalpalle,4.0
2018-01-06,Bhupalpalle,3.0
2018-01-07,Bhupalpalle,0.0
2018-01-08,Bhupalpalle,2.0
2018-01-09,Bhupalpalle,1.0
2018-01-10,Bhupalpalle,0.0
2018-01-11,Bhupalpalle,0.0
2018-01-12,Bhupalpalle,3.0
2018-01-13,Bhupalpalle,3.0
2018-01-14,Bhupalpalle,1.0
2018-01-15,Bhupalpalle,0.0
2018-01-16,Bhupalpalle,1.0
2018-01-17,Bhupalpalle,0.0
2018-01-18,Bhupalpalle,0.0
2018-01-19,Bhupalpalle,1.0
2018-01-20,Bhupalpalle,1.0
2018-01-21,Bhupalpalle,0.0
2018-01-22,Bhupalpalle,0.0
2018-01-23,Bhupalpalle,0.0
2018-01-24,Bhupalpalle,1.0
2018-01-25,Bhupalpalle,0.0
2018-01-26,Bhupalpalle,0.0
2018-01-27,Bhupalpalle,0.0
2018-01-28,Bhupalpalle,0.0
2018-01-29,Bhupalpalle,0.0
2018-01-30,Bhupalpalle,0.0
2018-01-31,Bhupalpalle,0.0
2018-02-01,Bhupalpalle,0.0
2018-02-02,Bhupalpalle,2.0
2018-02-03,Bhupalpalle,1.0
2018-02-04,Bhupalpalle,2.0
2018-02-05,Bhupalpalle,0.0
2018-02-06,Bhupalpalle,0.0
2018-02-07,Bhupalpalle,0.0
2018-02-08,Bhupalpalle,0.0
2018-02-09,Bhupalpalle,0.0
2018-02-10,Bhupalpalle,0.0
2018-02-11,Bhupalpalle,0.0
2018-02-12,Bhupalpalle,0.0
2018-02-13,Bhupalpalle,0.0
2018-02-14,Bhupalpalle,3.0
2018-02-15,Bhupalpalle,0.0
2018-02-16,Bhupalpalle,0.0
2018-02-17,Bhupalpalle,1.0
2018-02-18,Bhupalpalle,0.0
2018-02-19,Bhupalpalle,1.0
2018-02-20,Bhupalpalle,2.0
2018-02-21,Bhupalpalle,0.0
2018-02-22,Bhupalpalle,0.0
2018-02-23,Bhupalpalle,5.0
2018-02-24,Bhupalpalle,3.0
2018-02-25,Bhupalpalle,3.0
2018-02-26,Bhupalpalle,3.0
2018-02-27,Bhupalpalle,0.0
2018-02-28,Bhupalpalle,0.0
2018-03-01,Bhupalpalle,3.0
2018-03-02,Bhupalpalle,4.0
2018-03-03,Bhupalpalle,2.0
2018-03-04,Bhupalpalle,5.0
2018-03-05,Bhupalpalle,1.0
2018-03-06,Bhupalpalle,1.0
2018-03-07,Bhupalpalle,2.0
2018-03-08,Bhupalpalle,3.0
2018-03-09,Bhupalpalle,4.0
2018-03-10,Bhupalpalle,1.0
2018-03-11,Bhupalpalle,1.0
2018-03-12,Bhupalpalle,1.0
2018-03-13,Bhupalpalle,3.0
2018-03-14,Bhupalpalle,2.0
2018-03-15,Bhupalpalle,1.0
2018-03-16,Bhupalpalle,0.0
2018-03-17,Bhupalpalle,0.0
2018-03-18,Bhupalpalle,0.0
2018-03-19,Bhupalpalle,2.0
2018-03-20,Bhupalpalle,4.0
2018-03-21,Bhupalpalle,0.0
2018-03-22,Bhupalpalle,3.0
2018-03-23,Bhupalpalle,2.0
2018-03-24,Bhupalpalle,5.0
2018-03-25,Bhupalpalle,1.0
2018-03-26,Bhupalpalle,1.0
2018-03-27,Bhupalpalle,2.0
2018-03-28,Bhupalpalle,1.0
2018-03-29,Bhupalpalle,1.0
2018-03-30,Bhupalpalle,2.0
2018-03-31,Bhupalpalle,0.0
2018-04-01,Bhupalpalle,0.0
2018-04-02,Bhupalpalle,0.0
2018-04-03,Bhupalpalle,1.0
2018-04-04,Bhupalpalle,0.0
2018-04-05,Bhupalpalle,0.0
2018-04-06,Bhupalpalle,0.0
2018-04-07,Bhupalpalle,0.0
2018-04-08,Bhupalpalle,0.0
2018-04-09,Bhupalpalle,2.0
2018-04-10,Bhupalpalle,1.0
2018-04-11,Bhupalpalle,2.0
2018-04-12,Bhupalpalle,0.0
2018-04-13,Bhupalpalle,3.0
2018-04-14,Bhupalpalle,1.0
2018-04-15,Bhupalpalle,0.0
2018-04-16,Bhupalpalle,0.0
2018-04-17,Bhupalpalle,0.0
2018-04-18,Bhupalpalle,4.0
2018-04-19,Bhupalpalle,0.0
2018-04-20,Bhupalpalle,0.0
2018-04-21,Bhupalpalle,1.0
2018-04-22,Bhupalpalle,0.0
2018-04-23,Bhupalpalle,1.0
2018-04-24,Bhupalpalle,0.0
2018-04-25,Bhupalpalle,0.0
2018-04-26,Bhupalpalle,1.0
2018-04-27,Bhupalpalle,0.0
2018-04-28,Bhupalpalle,1.0
2018-04-29,Bhupalpalle,0.0
2018-04-30,Bhupalpalle,0.0
2018-05-01,Bhupalpalle,0.0
2018-05-02,Bhupalpalle,1.0
2018-05-03,Bhupalpalle,0.0
2018-05-04,Bhupalpalle,0.0
2018-05-05,Bhupalpalle,0.0
2018-05-06,Bhupalpalle,0.0
2018-05-07,Bhupalpalle,3.0
2018-05-08,Bhupalpalle,0.0
2018-05-09,Bhupalpalle,0.0
2018-05-10,Bhupalpalle,0.0
2018-05-11,Bhupalpalle,0.0
2018-05-12,Bhupalpalle,0.0
2018-05-13,Bhupalpalle,0.0
2018-05-14,Bhupalpalle,0.0
2018-05-15,Bhupalpalle,0.0
2018-05-16,Bhupalpalle,0.0
2018-05-17,Bhupalpalle,2.0
2018-05-18,Bhupalpalle,6.0
2018-05-19,Bhupalpalle,0.0
2018-05-20,Bhupalpalle,2.0
2018-05-21,Bhupalpalle,0.0
2018-05-22,Bhupalpalle,1.0
2018-05-23,Bhupalpalle,0.0
2018-05-24,Bhupalpalle,0.0
2018-05-25,Bhupalpalle,0.0
2018-05-26,Bhupalpalle,3.0
2018-05-27,Bhupalpalle,0.0
2018-05-28,Bhupalpalle,4.0
2018-05-29,Bhupalpalle,3.0
2018-05-30,Bhupalpalle,1.0
2018-05-31,Bhupalpalle,0.0
