Date,place,fireCount
2018-03-25,Jagtial,1.0
2018-03-26,Jagtial,1.0
2018-03-27,Jagtial,0.0
2018-03-28,Jagtial,1.0
2018-03-29,Jagtial,0.0
2018-03-30,Jagtial,2.0
2018-03-31,Jagtial,0.0
2018-04-01,Jagtial,1.0
2018-04-02,Jagtial,1.0
2018-04-03,Jagtial,1.0
2018-04-04,Jagtial,3.0
2018-04-05,Jagtial,1.0
2018-04-06,Jagtial,0.0
2018-04-07,Jagtial,0.0
2018-04-08,Jagtial,0.0
2018-04-09,Jagtial,0.0
2018-04-10,Jagtial,1.0
2018-04-11,Jagtial,0.0
2018-04-12,Jagtial,0.0
2018-04-13,Jagtial,1.0
2018-04-14,Jagtial,0.0
2018-04-15,Jagtial,1.0
2018-04-16,Jagtial,0.0
2018-04-17,Jagtial,1.0
2018-04-18,Jagtial,0.0
2018-04-19,Jagtial,1.0
2018-04-20,Jagtial,0.0
2018-04-21,Jagtial,0.0
2018-04-22,Jagtial,0.0
2018-04-23,Jagtial,0.0
2018-04-24,Jagtial,0.0
2018-04-25,Jagtial,0.0
2018-04-26,Jagtial,0.0
2018-04-27,Jagtial,0.0
2018-04-28,Jagtial,0.0
2018-04-29,Jagtial,0.0
2018-04-30,Jagtial,0.0
2018-05-01,Jagtial,0.0
2018-05-02,Jagtial,0.0
2018-05-03,Jagtial,0.0
2018-05-04,Jagtial,2.0
2018-05-05,Jagtial,0.0
2018-05-06,Jagtial,0.0
2018-05-07,Jagtial,1.0
2018-05-08,Jagtial,0.0
2018-05-09,Jagtial,0.0
2018-05-10,Jagtial,1.0
2018-05-11,Jagtial,0.0
2018-05-12,Jagtial,3.0
2018-05-13,Jagtial,0.0
2018-05-14,Jagtial,3.0
2018-05-15,Jagtial,6.0
2018-05-16,Jagtial,1.0
2018-05-17,Jagtial,6.0
2018-05-18,Jagtial,9.0
2018-05-19,Jagtial,9.0
2018-05-20,Jagtial,21.0
2018-05-21,Jagtial,0.0
2018-05-22,Jagtial,2.0
2018-05-23,Jagtial,0.0
2018-05-24,Jagtial,0.0
2018-05-25,Jagtial,8.0
2018-05-26,Jagtial,13.0
2018-05-27,Jagtial,0.0
2018-05-28,Jagtial,7.0
2018-05-29,Jagtial,2.0
2018-05-30,Jagtial,1.0
2018-05-31,Jagtial,0.0
2018-06-01,Jagtial,0.0
2018-06-02,Jagtial,0.0
2018-06-03,Jagtial,2.0
2018-06-04,Jagtial,0.0
2018-06-05,Jagtial,0.0
2018-06-06,Jagtial,2.0
2018-06-07,Jagtial,1.0
2018-06-08,Jagtial,0.0
2018-06-09,Jagtial,0.0
2018-06-10,Jagtial,0.0
2018-06-11,Jagtial,0.0
2018-06-12,Jagtial,0.0
2018-06-13,Jagtial,0.0
2018-06-14,Jagtial,0.0
2018-06-15,Jagtial,0.0
2018-06-16,Jagtial,2.0
2018-06-17,Jagtial,0.0
2018-06-18,Jagtial,0.0
2018-06-19,Jagtial,0.0
2018-06-20,Jagtial,1.0
2018-06-21,Jagtial,0.0
2018-06-22,Jagtial,0.0
2018-06-23,Jagtial,0.0
2018-06-24,Jagtial,0.0
2018-06-25,Jagtial,0.0
2018-06-26,Jagtial,0.0
2018-06-27,Jagtial,0.0
2018-06-28,Jagtial,0.0
2018-06-29,Jagtial,0.0
2018-06-30,Jagtial,0.0
2018-07-01,Jagtial,0.0
2018-07-02,Jagtial,0.0
2018-07-03,Jagtial,0.0
2018-07-04,Jagtial,0.0
2018-07-05,Jagtial,0.0
2018-07-06,Jagtial,0.0
2018-07-07,Jagtial,0.0
2018-07-08,Jagtial,0.0
2018-07-09,Jagtial,0.0
2018-07-10,Jagtial,0.0
2018-07-11,Jagtial,0.0
2018-07-12,Jagtial,0.0
2018-07-13,Jagtial,0.0
2018-07-14,Jagtial,0.0
2018-07-15,Jagtial,0.0
2018-07-16,Jagtial,0.0
2018-07-17,Jagtial,0.0
2018-07-18,Jagtial,0.0
2018-07-19,Jagtial,0.0
2018-07-20,Jagtial,0.0
2018-07-21,Jagtial,0.0
2018-07-22,Jagtial,0.0
2018-07-23,Jagtial,0.0
2018-07-24,Jagtial,0.0
2018-07-25,Jagtial,0.0
2018-07-26,Jagtial,0.0
2018-07-27,Jagtial,0.0
2018-07-28,Jagtial,0.0
2018-07-29,Jagtial,0.0
2018-07-30,Jagtial,0.0
2018-07-31,Jagtial,0.0
2018-08-01,Jagtial,0.0
2018-08-02,Jagtial,0.0
2018-08-03,Jagtial,0.0
2018-08-04,Jagtial,0.0
2018-08-05,Jagtial,0.0
2018-08-06,Jagtial,0.0
2018-08-07,Jagtial,0.0
2018-08-08,Jagtial,0.0
2018-08-09,Jagtial,0.0
2018-08-10,Jagtial,0.0
2018-08-11,Jagtial,0.0
2018-08-12,Jagtial,0.0
2018-08-13,Jagtial,0.0
2018-08-14,Jagtial,0.0
2018-08-15,Jagtial,0.0
